ID	CONVENTIONAL_HUmin	CONVENTIONAL_HUmean	CONVENTIONAL_HUstd	CONVENTIONAL_HUmax	CONVENTIONAL_HUQ1	CONVENTIONAL_HUQ2	CONVENTIONAL_HUQ3	CONVENTIONAL_HUSkewness	CONVENTIONAL_HUKurtosis	CONVENTIONAL_HUExcessKurtosis	CONVENTIONAL_HUcalciumAgatstonScore(onlyForCT)	CONVENTIONAL_TLG(mL)(onlyForPETorNM).CT	DISCRETIZED_HUmin	DISCRETIZED_HUmean	DISCRETIZED_HUstd	DISCRETIZED_HUmax	DISCRETIZED_HUQ1	DISCRETIZED_HUQ2	DISCRETIZED_HUQ3	DISCRETIZED_HUSkewness	DISCRETIZED_HUKurtosis	DISCRETIZED_HUExcessKurtosis	DISCRETIZED_TLG(mL)(onlyForPETorNM).CT	DISCRETIZED_HISTO_Entropy_log10.CT	DISCRETIZED_HISTO_Entropy_log2.CT	DISCRETIZED_HISTO_Energy(=Uniformity).CT	DISCRETIZED_AUC_CSH.CT	SHAPE_Volume(mL).CT	SHAPE_Volume(vx).CT	SHAPE_Sphericity(onlyFor3DROI)).CT	SHAPE_Surface(mm2)(onlyFor3DROI).CT	SHAPE_Compacity(onlyFor3DROI).CT	GLCM_Homogeneity(=InverseDifference).CT	GLCM_Energy(=AngularSecondMoment).CT	GLCM_Contrast(=Variance).CT	GLCM_Correlation.CT	GLCM_Entropy_log10.CT	GLCM_Entropy_log2(=JointEntropy).CT	GLCM_Dissimilarity.CT	GLRLM_SRE.CT	GLRLM_LRE.CT	GLRLM_LGRE.CT	GLRLM_HGRE.CT	GLRLM_SRLGE.CT	GLRLM_SRHGE.CT	GLRLM_LRLGE.CT	GLRLM_LRHGE.CT	GLRLM_GLNU.CT	GLRLM_RLNU.CT	GLRLM_RP.CT	NGLDM_Coarseness.CT	NGLDM_Contrast.CT	NGLDM_Busyness.CT	GLZLM_SZE.CT	GLZLM_LZE.CT	GLZLM_LGZE.CT	GLZLM_HGZE.CT	GLZLM_SZLGE.CT	GLZLM_SZHGE.CT	GLZLM_LZLGE.CT	GLZLM_LZHGE.CT	GLZLM_GLNU.CT	GLZLM_ZLNU.CT	GLZLM_ZP.CT	CONVENTIONAL_SUVbwmin	CONVENTIONAL_SUVbwmean	CONVENTIONAL_SUVbwstd	CONVENTIONAL_SUVbwmax	CONVENTIONAL_SUVbwQ1	CONVENTIONAL_SUVbwQ2	CONVENTIONAL_SUVbwQ3	CONVENTIONAL_SUVbwSkewness	CONVENTIONAL_SUVbwKurtosis	CONVENTIONAL_SUVbwExcessKurtosis	CONVENTIONAL_SUVbwcalciumAgatstonScore(onlyForCT)	CONVENTIONAL_TLG(mL)(onlyForPETorNM).PET	DISCRETIZED_SUVbwmin	DISCRETIZED_SUVbwmean	DISCRETIZED_SUVbwstd	DISCRETIZED_SUVbwmax	DISCRETIZED_SUVbwQ1	DISCRETIZED_SUVbwQ2	DISCRETIZED_SUVbwQ3	DISCRETIZED_SUVbwSkewness	DISCRETIZED_SUVbwKurtosis	DISCRETIZED_SUVbwExcessKurtosis	DISCRETIZED_TLG(mL)(onlyForPETorNM).PET	DISCRETIZED_HISTO_Entropy_log10.PET	DISCRETIZED_HISTO_Entropy_log2.PET	DISCRETIZED_HISTO_Energy(=Uniformity).PET	DISCRETIZED_AUC_CSH.PET	SHAPE_Volume(mL).PET	SHAPE_Volume(vx).PET	SHAPE_Sphericity(onlyFor3DROI)).PET	SHAPE_Surface(mm2)(onlyFor3DROI).PET	SHAPE_Compacity(onlyFor3DROI).PET	GLCM_Homogeneity(=InverseDifference).PET	GLCM_Energy(=AngularSecondMoment).PET	GLCM_Contrast(=Variance).PET	GLCM_Correlation.PET	GLCM_Entropy_log10.PET	GLCM_Entropy_log2(=JointEntropy).PET	GLCM_Dissimilarity.PET	GLRLM_SRE.PET	GLRLM_LRE.PET	GLRLM_LGRE.PET	GLRLM_HGRE.PET	GLRLM_SRLGE.PET	GLRLM_SRHGE.PET	GLRLM_LRLGE.PET	GLRLM_LRHGE.PET	GLRLM_GLNU.PET	GLRLM_RLNU.PET	GLRLM_RP.PET	NGLDM_Coarseness.PET	NGLDM_Contrast.PET	NGLDM_Busyness.PET	GLZLM_SZE.PET	GLZLM_LZE.PET	GLZLM_LGZE.PET	GLZLM_HGZE.PET	GLZLM_SZLGE.PET	GLZLM_SZHGE.PET	GLZLM_LZLGE.PET	GLZLM_LZHGE.PET	GLZLM_GLNU.PET	GLZLM_ZLNU.PET	GLZLM_ZP.PET
1	-546.7573853	-206.7788571	127.5115469	-10.75953579	-294.6340332	-172.5373993	-102.2427788	-0.720227619	2.51789768	-0.48210232	0	-314.3038628	46	79.81052632	12.77192211	99	71	83	90	-0.720204515	2.514597577	-0.485402423	121.312	1.588782444	5.277821037	0.029972299	798.1052632	1.52	190	0.805975798	793.2154824	1.916251049	0.198845314	0.005571192	175.8924289	0.35986088	2.291844105	7.613341321	9.88593842	0.977284825	1.096641312	1.74E-04	6496.635413	1.71E-04	6322.283819	1.87E-04	7240.518906	5.449810504	173.8267662	0.970040486	0.028945871	1.010503746	0.010628681	0.820107082	3.374045802	1.88E-04	6082.89313	1.61E-04	4770.151413	5.08E-04	24405.64885	3.564885496	82.95419847	0.689473684	0.843044579	2.110010737	0.604363969	2.972988367	1.908186466	2.233968496	2.596119463	-0.699169407	2.452684578	-0.547315422	3328	4.118740959	3	7.282786885	1.95176224	10	7	8	9	-0.680796023	2.512024268	-0.487975732	14.216	0.793764416	2.636828314	0.181671594	2.275870902	1.952	244	0.780688138	967.5195582	2.017530275	0.569280594	0.053771012	3.342615118	0.478697494	1.367523132	4.542813513	1.326272434	0.8368831	2.137987349	0.027990875	54.70447976	0.024459172	44.1184386	0.052575764	127.0015755	35.02773393	133.7396022	0.794766709	0.031821314	0.119509873	0.620273135	0.179055329	717	0.044229441	37.78571429	0.005793056	6.124904861	13.49244147	44777.92857	2.428571429	1.714285714	0.057377049
2	-393.8300476	-26.22576167	73.71812965	61.68855667	-57.68695736	5.017471075	24.42985249	-1.776097596	6.673828789	3.673828789	0	-146.8642654	61	97.86571429	7.372863094	107	95	101	103	-1.764524259	6.622578324	3.622578324	548.048	1.284071142	4.265592003	0.077738776	978.6571429	5.6	700	0.781276347	1951.962483	2.868907598	0.402710053	0.016829483	42.47285833	0.48743151	2.152560317	7.150650594	4.004114306	0.91416837	1.537624266	1.08E-04	9513.594087	9.99E-05	8619.265073	1.60E-04	15142.0403	40.62652064	491.3461737	0.874285714	0.009529475	0.213129756	0.020398476	0.778676023	96.75	1.21E-04	8575.433594	9.66E-05	6499.374509	0.009182187	1021275.492	10.4609375	144.8125	0.365714286	1.569939971	4.995048467	1.577623229	8.600146294	3.949282646	4.869788885	6.079878449	0.113668656	2.621747691	-0.378252309	6826.666667	24.53567807	6	16.48859935	5.02168266	28	13	16	20	0.124353224	2.622595004	-0.377404996	80.992	1.279635222	4.250856195	0.0601704	5.152687296	4.912	614	0.797410944	1752.43064	2.802964002	0.358317402	0.006827028	15.23401779	0.674800482	2.251879735	7.480582559	3.094620969	0.940084992	1.297839959	0.005371791	294.203614	0.005094866	273.8085893	0.006898107	389.4047758	34.18452257	483.9262592	0.919318467	0.021550013	0.15624325	0.175814918	0.42727497	43.70469799	0.006042656	271.7986577	0.002858342	105.1631878	0.198786693	13514.68456	8.973154362	28.06040268	0.24267101
3	-503.4139709	-100.9395208	105.62355	35	-170.665062	-78.13310242	-9.593523979	-0.850074422	3.086011114	0.086011114	0	-813.9762958	50	90.40376984	10.56267508	104	83	93	100	-0.850944388	3.091410928	0.091410928	729.016	1.533338989	5.093641868	0.035369819	904.0376984	8.064	1008	0.764892601	2542.439792	3.171756525	0.286545113	0.00434797	77.79432261	0.567970838	2.62498739	8.72001936	6.270851561	0.951957451	1.245072137	1.30E-04	8185.38622	1.25E-04	7725.247437	1.56E-04	10560.00692	31.00262498	829.6262201	0.93215812	0.008638506	0.414942691	0.025751635	0.776073162	28.89563567	1.44E-04	7416.954459	1.15E-04	5587.986692	0.002908832	290625.0607	15.89184061	294.8102467	0.52281746	0.840174675	2.602118267	0.747691957	4.497328758	2.187031507	2.59524405	3.120003164	-0.224275761	2.883572238	-0.116427762	12032	22.02432902	3	8.839319471	2.414645827	15	7	9	10	-0.196576811	2.843910104	-0.156089896	74.816	0.954905619	3.172127803	0.126988183	2.762287335	8.464	1058	0.795450979	2524.959831	3.352132535	0.559598442	0.028751307	2.841209432	0.721289207	1.645420299	5.46596792	1.264953747	0.847071151	2.10963134	0.018403002	81.62378893	0.016129622	67.13997586	0.036518166	181.8736926	106.4601035	577.3918115	0.789806602	0.013613193	0.049797088	0.687532975	0.363297621	3013.857143	0.031883496	56.0952381	0.012138347	15.5155418	41.31565702	255084.5238	7.095238095	5.904761905	0.039697543
4	-539.8997803	-60.53063674	94.41491866	49	-106.5884018	-26.4604311	9.145850182	-1.604655101	5.775938553	2.775938553	0	-272.1457428	47	94.44661922	9.45328452	105	90	98	101	-1.596588762	5.72804486	2.72804486	424.632	1.416502625	4.705519865	0.052089006	944.4661922	4.496	562	0.752927685	1749.638768	2.569673284	0.314525582	0.00758548	78.31775488	0.429976022	2.360101307	7.840086839	5.934618349	0.942552326	1.285666232	1.18E-04	8913.482419	1.12E-04	8333.879785	1.47E-04	11813.09781	24.83111569	446.3962037	0.921297564	0.011443527	0.387506284	0.016483264	0.780964668	22.51798561	1.31E-04	8119.881295	1.07E-04	6119.688557	0.002229368	229507.4568	9.647482014	158.0647482	0.494661922	0.872606575	2.117674761	0.339318949	2.705349207	1.919406176	2.099088192	2.34164989	-0.691092674	4.656908346	1.656908346	3413.333333	5.031595231	3	7.279461279	1.112834089	9	7	7	8	-0.713021506	4.617176654	1.617176654	17.296	0.616769287	2.048863223	0.2712535	2.27483165	2.376	297	0.765971873	1124.179322	2.11354181	0.711841491	0.107474048	0.828859552	0.60154519	1.048013773	3.481426398	0.628795233	0.746032511	2.932694299	0.022062298	52.47812337	0.017290948	37.82702096	0.057844948	164.344072	54.86585164	111.4277049	0.687904688	0.037418096	0.03394143	0.680498633	0.263857417	2103.727273	0.042908178	37.09090909	0.016924245	6.360971407	40.25889994	114743.8182	3	1.727272727	0.037037037
5	-580.2210693	-186.8548657	126.7498201	70.26670837	-285.6485138	-166.3685303	-81.32953453	-0.320333569	2.307935982	-0.692064018	0	-648.7600937	42	81.80875576	12.6979376	108	72	84	92	-0.318391718	2.313589447	-0.686410553	284.04	1.651394659	5.485814312	0.024400603	818.0875576	3.472	434	0.652013505	1700.646349	2.041576723	0.176393703	0.002430293	186.2377366	0.392333604	2.65259123	8.81171733	10.59597235	0.982700987	1.076630663	1.63E-04	6835.806325	1.60E-04	6705.264178	1.74E-04	7422.329567	10.33393748	405.0597191	0.976426799	0.01406385	0.834783976	0.022522607	0.82949821	2.82278481	1.69E-04	6586.794304	1.43E-04	5352.965165	4.22E-04	20901.16139	7.892405063	203.6455696	0.728110599	0.581457794	1.662532216	0.358926061	2.447899342	1.452976525	1.677111924	1.916282564	-0.605828024	3.52923595	0.52923595	13568	16.57212113	2	5.829855538	1.172151913	8	5	6	7	-0.477433051	3.201233313	0.201233313	58.112	0.660192061	2.193110557	0.252833465	1.821829856	9.968	1246	0.701992004	3190.734333	3.124045739	0.728667418	0.106220768	0.836304054	0.649726918	1.095679493	3.639768492	0.608551304	0.695394962	4.422655952	0.038517251	32.63208041	0.029443113	20.8486765	0.140125268	168.0504904	193.3668402	364.2066045	0.610754414	0.009630206	0.026747108	2.518189143	0.39911254	16097.08333	0.068422678	19.95833333	0.025954949	6.696940669	482.5746979	579457	9.083333333	4.25	0.019261637
6	-583.0232544	-170.9947507	160.7967292	14	-283.7185669	-136.8191071	-29.10685158	-0.687026472	2.525990319	-0.474009681	0	-277.6954752	42	83.41871921	16.10333149	102	72	87	98	-0.686238526	2.528513833	-0.471486167	135.472	1.565081934	5.199089646	0.042490718	834.1871921	1.624	203	0.765672853	872.6328507	1.861034682	0.231013411	0.01430626	250.3445699	0.411908361	2.164491774	7.190286036	11.7196297	0.950493154	1.286346721	1.72E-04	7009.564238	1.67E-04	6527.817165	2.02E-04	9845.144423	6.183814604	165.8217419	0.927245169	0.016515122	1.49937062	0.012899215	0.859824879	8.630434783	1.87E-04	6500.847826	1.66E-04	5453.442424	9.75E-04	82618.31884	3.434782609	96.37681159	0.679802956	0.836406529	2.296080889	0.66669596	3.442649126	1.992125899	2.369372368	2.745795906	-0.539915975	2.846170001	-0.153829999	2474.666667	3.857415893	3	7.842857143	2.214470038	12	7	8	9	-0.448456223	2.908358154	-0.091641846	13.176	0.896957375	2.979627905	0.14462585	2.450892857	1.68	210	0.810588965	843.1204538	1.992597846	0.526092514	0.032628076	3.334882858	0.617982802	1.566244103	5.202950288	1.430407214	0.877319975	1.648230199	0.025203596	65.10954285	0.022860619	55.8663141	0.038354588	111.6280822	25.1911263	129.865408	0.843223443	0.049123376	0.091713745	0.313550715	0.341347111	242.2727273	0.038978594	47.13636364	0.013924591	11.17147505	4.134422292	16881.04545	3.272727273	3.727272727	0.104761905
7	-509.8565369	-97.91370987	121.8017711	61.99649811	-181.4432259	-57.37726402	-0.241538741	-0.985399803	3.234447719	0.234447719	0	-468.419188	50	90.72408027	12.18801108	107	82	95	100.25	-0.987845325	3.239933247	0.239933247	434.024	1.577096059	5.238999708	0.033864274	907.2408027	4.784	598	0.787147887	1744.302906	2.742642911	0.263450785	0.00411847	135.5445061	0.428988903	2.569969113	8.537252598	8.148711604	0.957052105	1.224039473	1.32E-04	8274.270294	1.28E-04	7847.843731	1.55E-04	10515.36946	17.84862588	502.4626003	0.938512992	0.011631739	0.577806164	0.015696931	0.817439393	13.29512894	1.48E-04	7436.524355	1.26E-04	5831.375388	0.001361514	132759.9226	8.902578797	218.1346705	0.58361204	0.895516276	2.472426457	0.566419511	3.282900333	2.324687719	2.615014315	2.816579282	-1.158837931	3.568097021	0.568097021	3669.333333	4.905294091	3	8.411290323	1.842649288	11	8	9	10	-1.102238659	3.619332739	0.619332739	16.688	0.761455608	2.529500776	0.217546826	2.628528226	1.984	248	0.736985136	1036.063818	1.914939954	0.630581859	0.077769097	2.748266847	0.499032329	1.279714698	4.251120209	1.09184717	0.80045739	2.402146871	0.019629125	71.13017534	0.016810144	54.48577679	0.039623775	185.6636307	36.42501496	116.2581832	0.751861042	0.03503055	0.070333596	0.334888119	0.31391472	525.9090909	0.032121787	52	0.010727122	16.67011247	6.804346509	42753.63636	3.181818182	3.272727273	0.088709677
8	-736.5172119	-140.0360193	152.4708148	34.93127823	-211.7247467	-90.84885406	-26.31105804	-1.474196582	5.057090771	2.057090771	0	-657.6091466	27	86.48040886	15.24342653	104	79	91	98	-1.473754556	5.062964582	2.062964582	406.112	1.626755063	5.403963347	0.03019134	864.8040886	4.696	587	0.753357505	1800.121134	2.608713331	0.248698154	0.00323408	119.5945127	0.705279414	2.623506165	8.715098837	7.790180475	0.965015766	1.170445675	1.62E-04	7631.741366	1.58E-04	7309.201704	1.82E-04	9219.779672	16.27361218	509.9404549	0.951513563	0.015041672	0.506211597	0.009648007	0.78533583	9.098214286	1.89E-04	6800.818452	1.58E-04	5068.945377	0.001058221	84778.68452	7.821428571	192.9761905	0.572402044	0.943345547	2.538942767	0.611550118	4.043158531	2.215677202	2.469884634	2.839574933	0.142429058	3.529738588	0.529738588	6400	10.96823275	4	8.609259259	1.952469331	13	8	8	10	0.16627365	3.34312819	0.34312819	37.192	0.851677103	2.829210095	0.176721536	2.690393519	4.32	540	0.713199874	1798.575603	2.4019007	0.628601565	0.054930114	2.397151291	0.667115837	1.477105444	4.906838074	1.04947897	0.796863473	2.521906322	0.017059266	76.92498303	0.014164009	60.12512732	0.039205257	196.8436724	63.51971545	238.464034	0.733618234	0.024593672	0.052960211	0.528139405	0.42499495	1730.928571	0.031281067	54.85714286	0.014794779	18.4758788	25.87814412	123846.6071	4.428571429	5.428571429	0.051851852
